[description:"recurring" due:"1646024400" entry:"1644280331" mask:"X------" modified:"1660952245" recur:"monthly" rtype:"periodic" status:"recurring" uuid:"b515f29a-e85a-4717-af80-6260ba3c38e9"]
[description:"connect FLASK backend to google sql table" entry:"1644290980" modified:"1644299016" project:"avery" status:"pending" tags:"i,p" tags_i:"x" tags_p:"x" uuid:"3bdc201a-8256-4930-b8fe-677cff19b52f"]
[description:"reassess goals\/habits\/inbox" entry:"1644298980" modified:"1644298997" project:"self" status:"pending" tags:"i,p" tags_i:"x" tags_p:"x" uuid:"85a7089a-d13e-4042-85fa-8edc61926ffc"]
[description:"recurring" due:"1648440000" entry:"1660952245" imask:"1" modified:"1644280806" parent:"b515f29a-e85a-4717-af80-6260ba3c38e9" recur:"monthly" rtype:"periodic" status:"pending" uuid:"d68961fe-0abb-4223-a02a-44b9b580827b"]
[description:"recurring" due:"1651118400" entry:"1660952245" imask:"2" modified:"1644280806" parent:"b515f29a-e85a-4717-af80-6260ba3c38e9" recur:"monthly" rtype:"periodic" status:"pending" uuid:"cb4f618e-89db-48f7-9355-121cf0bec2f4"]
[description:"recurring" due:"1653710400" entry:"1660952245" imask:"3" modified:"1644280806" parent:"b515f29a-e85a-4717-af80-6260ba3c38e9" recur:"monthly" rtype:"periodic" status:"pending" uuid:"9ed109ce-b990-436d-8c96-8e0950ed1482"]
[description:"recurring" due:"1656388800" entry:"1660952245" imask:"4" modified:"1644280806" parent:"b515f29a-e85a-4717-af80-6260ba3c38e9" recur:"monthly" rtype:"periodic" status:"pending" uuid:"44abfc6d-1218-4670-b6b9-c8201746b1e8"]
[description:"recurring" due:"1658980800" entry:"1660952245" imask:"5" modified:"1644280806" parent:"b515f29a-e85a-4717-af80-6260ba3c38e9" recur:"monthly" rtype:"periodic" status:"pending" uuid:"ff5ab13e-9f07-48e8-81d1-ddad0f9ad347"]
[description:"recurring" due:"1661659200" entry:"1660952245" imask:"6" modified:"1644280806" parent:"b515f29a-e85a-4717-af80-6260ba3c38e9" recur:"monthly" rtype:"periodic" status:"pending" uuid:"6e154efe-f3cf-4640-b4f9-75ea892b9ec3"]
